ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Inflected_Forms
tomo1244-1-74_armpit-1,,tomo1244-1,74_armpit,be,be,b e,cf. Ross (1980): <belon> 'his shoulder',BarlowKillian2023,,,^ b e $,default,be lo-n (3sg); cf. Ross (1980): <belon> '(his) shoulder'
tomo1244-1-468_lungsliver-1,,tomo1244-1,468_lungsliver,ber,ber,b e r,or is this /neber/?,BarlowKillian2023,,,^ b e r $,default,ne=ber lo-n (3sg)/(sg)
tomo1244-1-383_head-1,,tomo1244-1,383_head,bla,bla,b l a,same as 'spouse's mother'?; also /pana/,BarlowKillian2023,,,^ b l a $,default,"bla lo-ʝo (1sg), bla lol-ʝo (1sg), bla lo-m (2sg), bla lo-m-ke (2sg) (double possessive marking?), bla lo-n (3sg)"
tomo1244-1-522_nosebeakprowofacanoe-1,,tomo1244-1,522_nosebeakprowofacanoe,blodu,blodu,b l o d u,,BarlowKillian2023,,,^ b l o d u $,default,"blodu-ʝo (1sg), blodu no-ʝo (1sg), blodu-m (2sg), blodu-n (3sg), blodu no-n (3sg)"
tomo1244-1-246_earwax-1,,tomo1244-1,246_earwax,breβoe,breβoe,b r e β o e,,BarlowKillian2023,,,^ b r e β o e $,default,
tomo1244-1-106_bellystomachcanoe-1,,tomo1244-1,106_bellystomachcanoe,buhe,buhe,b u h e,,BarlowKillian2023,,,^ b u h e $,default,"buhe lo-n (3sg), buhe lo (before noun)"
tomo1244-1-726_thighupperleg-1,,tomo1244-1,726_thighupperleg,bulti,bulti,b u l t i,"prefix /bul-/, from prefix /buŋ-/?; cf. /buti/ 'breast'",BarlowKillian2023,,,^ b u l t i $,default,bulti no (before noun)
tomo1244-1-479_meatflesh-1,,tomo1244-1,479_meatflesh,burho,burho,b u r h o,"prefix /bur-/, from prefix /buŋ-/? (but relation if any to /ho/ 'ashes' is unclear); from POc *boʀok 'pig'?",BarlowKillian2023,,,^ b u r h o $,default,burho no (before noun [person]); burho lo (before noun [pig]); burho lo-n (3sg) [from Ross (1980): <buruholon> 'flesh']
tomo1244-1-147_breast-1,,tomo1244-1,147_breast,buti,buti,b u t i,"prefix /bu-/, from prefix /buŋ-/?; also /ti/, based on Grace (1955a); Ross (1980)",BarlowKillian2023,,,^ b u t i $,default,buti no (before noun); buŋ-buti (prefix /buŋ-/) (double prefix: first is fossilized)
tomo1244-1-503_mouthlowerface-1,,tomo1244-1,503_mouthlowerface,dela,dela,d e l a,alternate stem of /deli/?; found in compound /dela ŋa lem / 'face'?,BarlowKillian2023,,,^ d e l a $,default,deli-m (2sg)
