ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Inflected_Forms
tomo1244-1-260_face-1,,tomo1244-1,260_face,dela ŋa lem,dela ŋa lem,d e l a + ŋ a + l e m,literally 'mouth of forehead'?,BarlowKillian2023,,,^ d e l a + ŋ a + l e m $,default,
tomo1244-1-503_mouthlowerface-2,,tomo1244-1,503_mouthlowerface,deli,deli,d e l i,alternate stem of /dela/?,BarlowKillian2023,,,^ d e l i $,default,"deli e-ʝo (1sg), deli e-ke (2sg), deli e-m (2sg), deli e-n (3sg), deli e-n ano-n (3sg) (double possessive marking?)"
tomo1244-1-515_neck-1,,tomo1244-1,515_neck,delkua,delkua,d e l k u a,,BarlowKillian2023,,,^ d e l k u a $,default,"delkua-ʝo (1sg), delkua-n (3sg)"
tomo1244-1-591_rheumeyemucus-1,,tomo1244-1,591_rheumeyemucus,gomuk,gomuk,g o m u k,,BarlowKillian2023,,,^ g o m u k $,default,
tomo1244-1-899_umbilicalcord-1,,tomo1244-1,899_umbilicalcord,he muop,he muop,h e + m u o p,literally 'stick navel',BarlowKillian2023,,,^ h e + m u o p $,default,
tomo1244-1-911_veinthread-1,,tomo1244-1,911_veinthread,hem,hem,h e m,,BarlowKillian2023,,,^ h e m $,default,e=hem (pl); ka-hem (prefix /ka-/); hem lo-n (3sg)
tomo1244-1-897_tusk-1,,tomo1244-1,897_tusk,henio,henio,h e n i o,literally 'stick tooth'?,BarlowKillian2023,,,^ h e n i o $,default,"ne=henio (sg), e=henio (pl); ka-henio (prefix /ka-/), la-henio ('tusk piece, broken tusk') (prefix /la-/)"
tomo1244-1-395_hornofalizard-1,,tomo1244-1,395_hornofalizard,hoago,hoago,h o a g o,,BarlowKillian2023,,,^ h o a g o $,default,e=hoago (pl)
tomo1244-1-948_wrist-1,,tomo1244-1,948_wrist,hore,hore,h o r e,,BarlowKillian2023,,,^ h o r e $,default,
tomo1244-1-506_musclestrength-1,,tomo1244-1,506_musclestrength,ileŋ,ileŋ,i l e ŋ,,BarlowKillian2023,,,^ i l e ŋ $,default,"ileŋ lo-n (3sg), ileŋ lo (before noun)"
tomo1244-1-376_hairfeather-1,,tomo1244-1,376_hairfeather,ʝu,ʝu,ʝ u,same as 'fire'?,BarlowKillian2023,,,^ ʝ u $,default,e=ʝu (pl); e=ʝu lo-n (3sg)/(pl)
tomo1244-1-367_grayhair-1,,tomo1244-1,367_grayhair,ʝu bir,ʝu bir,ʝ u + b i r,literally 'hair white',BarlowKillian2023,,,^ ʝ u + b i r $,default,
tomo1244-1-502_moustache-1,,tomo1244-1,502_moustache,ʝu pini,ʝu pini,ʝ u + p i n i,literally 'hair lip',BarlowKillian2023,,,^ ʝ u + p i n i $,default,e=ʝu pini e=n (3sg)/(pl)
tomo1244-1-386_heelofthehandheelofthefoot-1,,tomo1244-1,386_heelofthehandheelofthefoot,ka,ka,k a,same as 'parrot'?; same as 'fence'?,BarlowKillian2023,,,^ k a $,default,
tomo1244-1-369_groincrotch-1,,tomo1244-1,369_groincrotch,ka,ka,k a,same as 'parrot'?; same as 'fence'?,BarlowKillian2023,,,^ k a $,default,
tomo1244-1-464_liverintestinesguts-1,,tomo1244-1,464_liverintestinesguts,kaedi,kaedi,k a e d i,,BarlowKillian2023,,,^ k a e d i $,default,"e=kaedi (pl); kaedi lo-n (3sg); kaedi lo (before noun), kaedi no (before noun)"
tomo1244-1-336_furbodyhair-1,,tomo1244-1,336_furbodyhair,kaʝu,kaʝu,k a ʝ u,prefix /ka-/ with /ʝu/ 'hair'; same as 'lit piece of firewood'?,BarlowKillian2023,,,^ k a ʝ u $,default,e=kaʝu (pl)
tomo1244-1-171_chincheek-1,,tomo1244-1,171_chincheek,kaku,kaku,k a k u,prefix /ka-/?; the meaning is uncertain: found in /kaku ʝu/ 'beard',BarlowKillian2023,,,^ k a k u $,default,
tomo1244-1-102_beard-1,,tomo1244-1,102_beard,kaku ʝu,kaku ʝu,k a k u + ʝ u,prefix /ka-/?; the meaning of /kaku/ is uncertain; /ʝu/ means 'hair',BarlowKillian2023,,,^ k a k u + ʝ u $,default,
tomo1244-1-711_templeofthehead-1,,tomo1244-1,711_templeofthehead,kalas,kalas,k a l a s,prefix /ka-/?,BarlowKillian2023,,,^ k a l a s $,default,
tomo1244-1-441_knuckle-1,,tomo1244-1,441_knuckle,kame,kame,k a m e,,BarlowKillian2023,,,^ k a m e $,default,kame-n (3sg)
tomo1244-1-172_chincheek-1,,tomo1244-1,172_chincheek,kao,kao,k a o,or is this /ka o/?; same as 'parrot'?; same as 'fence'?; also /kaku/?,BarlowKillian2023,,,^ k a o $,default,kao-n (3sg)
tomo1244-1-84_backofthebodybacksidesternofacanoe-1,,tomo1244-1,84_backofthebodybacksidesternofacanoe,kap,kap,k a p,"cf. /kap lo/ 'back of, behind'",BarlowKillian2023,,,^ k a p $,default,"kap lo-n (3sg), kap lo (before noun)"
tomo1244-1-429_intestinesguts-1,,tomo1244-1,429_intestinesguts,kebi,kebi,k e b i,cf. /kobi/ 'bottom',BarlowKillian2023,,,^ k e b i $,default,kebi e-n (3sg)
tomo1244-1-511_napeoftheneck-1,,tomo1244-1,511_napeoftheneck,kero,kero,k e r o,,BarlowKillian2023,,,^ k e r o $,default,
tomo1244-1-453_legfoot-1,,tomo1244-1,453_legfoot,kia,kia,k i a,,BarlowKillian2023,,,^ k i a $,default,"kia-n (3sg); ro=kia-n (3sg)/(du), e=kia-n (3sg)/(pl)"
tomo1244-1-136_bone-1,,tomo1244-1,136_bone,kinto,kinto,k i n t o,or is this /kin to/?,BarlowKillian2023,,,^ k i n t o $,default,kinto no-n (3sg)
tomo1244-1-82_backbonespine-1,,tomo1244-1,82_backbonespine,kinto ŋa kap,kinto ŋa kap,k i n t o + ŋ a + k a p,literally 'bone of back',BarlowKillian2023,,,^ k i n t o + ŋ a + k a p $,default,kinto ŋa kap lo-n (3sg)
tomo1244-1-391_hiphipbone-1,,tomo1244-1,391_hiphipbone,kip,kip,k i p,,BarlowKillian2023,,,^ k i p $,default,
tomo1244-1-677_stingerofaninsect-1,,tomo1244-1,677_stingerofaninsect,kner,kner,k n e r,,BarlowKillian2023,,,^ k n e r $,default,
tomo1244-1-550_palateroofofmouth-1,,tomo1244-1,550_palateroofofmouth,kniŋ,kniŋ,k n i ŋ,loan from Sulka? (cf. Tharp 1996: 162: <kning> 'roof of mouth'),BarlowKillian2023,,,^ k n i ŋ $,default,
tomo1244-1-309_fist-1,,tomo1244-1,309_fist,ko,ko,k o,same as 'crayfish sp.'?,BarlowKillian2023,,,^ k o $,default,
tomo1244-1-310_fistofthehand-1,,tomo1244-1,310_fistofthehand,ko lalma,ko lalma,k o + l a l m a,literally 'fist hand',BarlowKillian2023,,,^ k o + l a l m a $,default,ko lalma-n (3sg)
tomo1244-1-504_mucussnot-1,,tomo1244-1,504_mucussnot,kok,kok,k o k,same as 'praying mantis'?,BarlowKillian2023,,,^ k o k $,default,e=kok (pl)
tomo1244-1-712_testicle-1,,tomo1244-1,712_testicle,kom,kom,k o m,same as '2pl'?,BarlowKillian2023,,,^ k o m $,default,"ro=kom (du), e=kom (pl)"
tomo1244-1-665_spleen-1,,tomo1244-1,665_spleen,koβoe,koβoe,k o β o e,,BarlowKillian2023,,,^ k o β o e $,default,
tomo1244-1-940_wing-1,,tomo1244-1,940_wing,kube,kube,k u b e,,BarlowKillian2023,,,^ k u b e $,default,kube lo-n (3sg)
tomo1244-1-219_digitfingertoerootofatree-1,,tomo1244-1,219_digitfingertoerootofatree,kuk,kuk,k u k,,BarlowKillian2023,,,^ k u k $,default,e=kuk (pl)
tomo1244-1-105_belchburp-1,,tomo1244-1,105_belchburp,kuri,kuri,k u r i,,BarlowKillian2023,,,^ k u r i $,default,
tomo1244-1-438_knee-1,,tomo1244-1,438_knee,lakilia,lakilia,l a k i l i a,"prefix /la-/ with /ki/ 'leg, foot'?; meaning of /li/ or /lia/ unclear; cf. Grace (1955a): <laki> 'elbow, knee'",BarlowKillian2023,,,^ l a k i l i a $,default,lakilia-n (3sg)
tomo1244-1-377_handarm-1,,tomo1244-1,377_handarm,lalma,lalma,l a l m a,"from *la-l[i]ma, with prefix /la-/, also /gua-/, based on Ross (1980)",BarlowKillian2023,,,^ l a l m a $,default,"ro=lalma (du); lalma-ʝo (1sg), lalmi-m [lalmim ~ lalmem] (2sg), lalma-ke (2sg), lalma-n (3sg), e=lalma-kem (1pl.excl)/(pl), e=lalma-sier (1pl.incl)/(pl), e=lalma-kom (2pl)/(pl), lalma-di (3pl), e=lalmadi (3pl)/(pl), e=lalma-ka (1du.excl)/(pl), e=lalma-ta (1du.incl)/(pl), lalma-ta (1du.incl), lalma-kuma (2du), lalma ikuma (2du), lalma-doro (3du)"
tomo1244-1-283_finofafish-1,,tomo1244-1,283_finofafish,lan,lan,l a n,"also /salmeŋ/, based on Grace (1955a)",BarlowKillian2023,,,^ l a n $,default,
tomo1244-1-321_foreheadface-1,,tomo1244-1,321_foreheadface,lem,lem,l e m,,BarlowKillian2023,,,^ l e m $,default,lem ta-n (3sg)
tomo1244-1-625_sideofthebody-1,,tomo1244-1,625_sideofthebody,lio,lio,l i o,same as 'to copulate'?,BarlowKillian2023,,,^ l i o $,default,
tomo1244-1-135_boilblister-1,,tomo1244-1,135_boilblister,lor,lor,l o r,,BarlowKillian2023,,,^ l o r $,default,ne=lor (sg)
tomo1244-1-518_nipple-1,,tomo1244-1,518_nipple,luβa,luβa,l u β a,,BarlowKillian2023,,,^ l u β a $,default,
tomo1244-1-645_sneeze-1,,tomo1244-1,645_sneeze,mate,mate,m a t e,,BarlowKillian2023,,,^ m a t e $,default,
tomo1244-1-655_sorewound-1,,tomo1244-1,655_sorewound,mek,mek,m e k,,BarlowKillian2023,,,^ m e k $,default,m=mek (sg); m=mek an-ke (2sg)
tomo1244-1-432_jawbonebicepsupperarmcalflowerleg-1,,tomo1244-1,432_jawbonebicepsupperarmcalflowerleg,menhe,menhe,m e n h e,"perhaps has a general meaning along the lines of 'mound, bump, protrusion'",BarlowKillian2023,,,^ m e n h e $,default,
tomo1244-1-902_urine-1,,tomo1244-1,902_urine,mim,mim,m i m,,BarlowKillian2023,,,^ m i m $,default,"m=mim (sg), e=mim (pl)"
tomo1244-1-552_palmofthehandsoleofthefoot-1,,tomo1244-1,552_palmofthehandsoleofthefoot,mnam,mnam,m n a m,same as 'pulp'? (more general meaning of 'inside' of something?),BarlowKillian2023,,,^ m n a m $,default,
tomo1244-1-134_bloodsapofatreespirittypetpmasalai-1,,tomo1244-1,134_bloodsapofatreespirittypetpmasalai,motom,motom,m o t o m,,BarlowKillian2023,,,^ m o t o m $,default,"motom ano-n (3sg), motom no (before noun), motom lo (before noun); e=motom (pl)"
tomo1244-1-483_mensesmenstrualblood-1,,tomo1244-1,483_mensesmenstrualblood,motom mpu,motom mpu,m o t o m + m p u,literally 'blood month'?,BarlowKillian2023,,,^ m o t o m + m p u $,default,
tomo1244-1-917_vulvavagina-1,,tomo1244-1,917_vulvavagina,motu,motu,m o t u,"also /pu/; /bor/, based on Grace (1955a)",BarlowKillian2023,,,^ m o t u $,default,
tomo1244-1-513_navelbellybutton-1,,tomo1244-1,513_navelbellybutton,muop,muop,m u o p,same as 'taro'?,BarlowKillian2023,,,^ m u o p $,default,"m=muop (sg), muop lo-n (3sg), muop ano-n (3sg)"
tomo1244-1-824_tooth-1,,tomo1244-1,824_tooth,nio,nio,n i o,,BarlowKillian2023,,,^ n i o $,default,"ka-nio (prefix /ka-/), nio an-ke (2sg), nio no-n (3sg)"
tomo1244-1-141_brain-1,,tomo1244-1,141_brain,nir,nir,n i r,"also /muom/, based on Grace (1955a); Reesink (2005: 183); same as 'awake'?; from *n-hir?",BarlowKillian2023,,,^ n i r $,default,ne=hir lo-n (3sg)/(sg) (?) [from Ross (1980): <ne her lon> '(his) brain')]
tomo1244-1-152_buttocks-1,,tomo1244-1,152_buttocks,nobi,nobi,n o b i,prefix /no-/?; cf. /kobi/ 'bottom',BarlowKillian2023,,,^ n o b i $,default,nobi e-n (3sg)
tomo1244-1-132_bladder-1,,tomo1244-1,132_bladder,ŋgol hormim,ŋgol hormim,ŋ g o l + h o r m i m,literally 'bag urinate',BarlowKillian2023,,,^ ŋ g o l + h o r m i m $,default,
tomo1244-1-903_uteruswomb-1,,tomo1244-1,903_uteruswomb,ŋgol muop,ŋgol muop,ŋ g o l + m u o p,literally 'bag navel',BarlowKillian2023,,,^ ŋ g o l + m u o p $,default,
tomo1244-1-258_eye-1,,tomo1244-1,258_eye,ŋom,ŋom,ŋ o m,form of /ŋoma/ 'eye' used with preposition /ta/ ~ /to/,BarlowKillian2023,,,^ ŋ o m $,default,"ŋom to-m (2sg), ŋom ta-n (3sg); ro=ŋom ta-n (3sg)/(du)"
tomo1244-1-258_eye-2,,tomo1244-1,258_eye,ŋoma,ŋoma,ŋ o m a,"direct possession?; cf. /ŋom/ 'eye', used with preposition ",BarlowKillian2023,,,^ ŋ o m a $,default,"ŋoma-ʝo (1sg), ŋoma-ke (2sg), ŋoma (before noun), e=ŋoma (before noun)/(pl)"
tomo1244-1-86_baldspotcassowarycasque-1,,tomo1244-1,86_baldspotcassowarycasque,pal,pal,p a l,reanalyzed singular /m=/?,BarlowKillian2023,,,^ p a l $,default,"m=pal (sg), e=m=pal (pl) (?); buŋ-pal (prefix /buŋ-/)"
tomo1244-1-241_eargill-1,,tomo1244-1,241_eargill,palieŋ,palieŋ,p a l i e ŋ,same as 'mushroom'?,BarlowKillian2023,,,^ p a l i e ŋ $,default,"ro=palieŋ (du); palieŋ no-ʝo (1sg), palieŋ lo-ʝo (1sg), palieŋ n-ke (2sg), palieŋ ano-n (3sg)"
tomo1244-1-242_earlobe-1,,tomo1244-1,242_earlobe,palieŋ del,palieŋ del,p a l i e ŋ + d e l,literally 'ear mouth'?,BarlowKillian2023,,,^ p a l i e ŋ + d e l $,default,"palieŋ del ŋa-ʝo (1sg), palieŋ del ŋa-ke (2sg), palieŋ del ŋa-n (3sg)"
tomo1244-1-383_head-2,,tomo1244-1,383_head,pana,pana,p a n a,also /bla/,BarlowKillian2023,,,^ p a n a $,default,pana lo-n (3sg)
tomo1244-1-629_skinbodyhullofacanoe-1,,tomo1244-1,629_skinbodyhullofacanoe,pel,pel,p e l,,BarlowKillian2023,,,^ p e l $,default,"pel to-ʝo (1sg), pel to-ke (2sg) pel to-n (3sg), pel to (before noun), pel to no (?) (before noun)"
tomo1244-1-308_fishtail-1,,tomo1244-1,308_fishtail,pelpel,pelpel,p e l p e l,reduplication,BarlowKillian2023,,,^ p e l p e l $,default,
tomo1244-1-606_scaleoffishringwormtineatpgrile-1,,tomo1244-1,606_scaleoffishringwormtineatpgrile,pin,pin,p i n,,BarlowKillian2023,,,^ p i n $,default,"ne=pin (sg), e=pin (pl)"
tomo1244-1-462_liplips-1,,tomo1244-1,462_liplips,pini,pini,p i n i,,BarlowKillian2023,,,^ p i n i $,default,pini e-n (3sg)
tomo1244-1-509_nail-1,,tomo1244-1,509_nail,pla,pla,p l a,same as 'skin'? (perhaps must cooccur with /kuk/),BarlowKillian2023,,,^ p l a $,default,
tomo1244-1-628_skinanimalhidebarkhuskofacoconutorarecanutpeelofabanana-1,,tomo1244-1,628_skinanimalhidebarkhuskofacoconutorarecanutpeelofabanana,pla,pla,p l a,same as 'nail'?,BarlowKillian2023,,,^ p l a $,default,pla e-n (3sg); ne=pla e-n (3sg)/(sg)
tomo1244-1-281_fingernailtoenailclaw-1,,tomo1244-1,281_fingernailtoenailclaw,pla kuk,pla kuk,p l a + k u k,literally 'nail digit',BarlowKillian2023,,,^ p l a + k u k $,default,
tomo1244-1-733_throat-1,,tomo1244-1,733_throat,pore,pore,p o r e,"also /purmi/, based on Grace (1955a)",BarlowKillian2023,,,^ p o r e $,default,
tomo1244-1-394_hoofofpig-1,,tomo1244-1,394_hoofofpig,porkin,porkin,p o r k i n,,BarlowKillian2023,,,^ p o r k i n $,default,ne=porkin (sg)
tomo1244-1-559_penis-1,,tomo1244-1,559_penis,psi,psi,p s i,"or is this /psie/?; same as 'to flatulate, to fart'?",BarlowKillian2023,,,^ p s i $,default,psi e-n (3sg)
tomo1244-1-265_fatgrease-1,,tomo1244-1,265_fatgrease,punon,punon,p u n o n,"also /hediu/, based on Grace (1955a); Ross (1980)",BarlowKillian2023,,,^ p u n o n $,default,"punon ano (before noun), punon no (before noun)"
tomo1244-1-374_gums-1,,tomo1244-1,374_gums,sio,sio,s i o,,BarlowKillian2023,,,^ s i o $,default,e=sio (pl)
tomo1244-1-162_chest-1,,tomo1244-1,162_chest,taba,taba,t a b a,,BarlowKillian2023,,,^ t a b a $,default,taba lo-n (3sg)
tomo1244-1-675_sternumbreastbone-1,,tomo1244-1,675_sternumbreastbone,taba kinto,taba kinto,t a b a + k i n t o,literally 'chest bone',BarlowKillian2023,,,^ t a b a + k i n t o $,default,
tomo1244-1-68_anus-1,,tomo1244-1,68_anus,tarmar nobi,tarmar nobi,t a r m a r + n o b i,"literally 'hole buttocks'; also /pumia/, based on Grace (1955a)",BarlowKillian2023,,,^ t a r m a r + n o b i $,default,tarmar nobi e-n (3sg)
tomo1244-1-257_excrementfeces-1,,tomo1244-1,257_excrementfeces,tek,tek,t e k,same as 'post'?,BarlowKillian2023,,,^ t e k $,default,e=tek (pl)
tomo1244-1-390_hiccup-1,,tomo1244-1,390_hiccup,tiŋ,tiŋ,t i ŋ,,BarlowKillian2023,,,^ t i ŋ $,default,
tomo1244-1-180_claviclecollarbone-1,,tomo1244-1,180_claviclecollarbone,to,to,t o,same as /pto/ 'buttress root'?; cf. Ross (1980): <eptolon> '(his) bone',BarlowKillian2023,,,^ t o $,default,to lo-n (3sg)
tomo1244-1-822_tongue-1,,tomo1244-1,822_tongue,tom,tom,t o m,,BarlowKillian2023,,,^ t o m $,default,"tom lo-ʝo (1sg), tom lol-ʝo (1sg), tom lo-m (2sg), tom lol-ke (2sg), tom lo-n (3sg), tom lol (before noun)"
tomo1244-1-490_monitorlizardreptile-1,,tomo1244-1,490_monitorlizardreptile,tuguk,tuguk,t u g u k,,BarlowKillian2023,,,^ t u g u k $,default,e=tuguk (pl); ka-tuguk (prefix /ka-/)
tomo1244-1-623_shoulder-1,,tomo1244-1,623_shoulder,βaŋha,βaŋha,β a ŋ h a,"also /βoloha/, /βolha/; /em/, based on Grace (1955a); /be/, based on Ross (1980)",BarlowKillian2023,,,^ β a ŋ h a $,default,
tomo1244-1-615_semen-1,,tomo1244-1,615_semen,βara βuo,βara βuo,β a r a + β u o,loan from Tok Pisin /wara/ 'water'?; the meaning of /βuo/ is uncertain,BarlowKillian2023,,,^ β a r a + β u o $,default,
tomo1244-1-592_ribs-1,,tomo1244-1,592_ribs,βari,βari,β a r i,,BarlowKillian2023,,,^ β a r i $,default,e=βari (pl); βari no (before noun); e=βari lo-n (3sg)/(pl) [from Ross (1980): <e vari lon> '(his) rib']
tomo1244-1-607_scar-1,,tomo1244-1,607_scar,βel,βel,β e l,,BarlowKillian2023,,,^ β e l $,default,
tomo1244-1-623_shoulder-2,,tomo1244-1,623_shoulder,βolha,βolha,β o l h a,"also /βoloha/ and /βaŋha/; /em/, based on Grace (1955a); /be/, based on Ross (1980)",BarlowKillian2023,,,^ β o l h a $,default,
tomo1244-1-623_shoulder-3,,tomo1244-1,623_shoulder,βoloha,βoloha,β o l o h a,"also /βolha/ and /βaŋha/; /em/, based on Grace (1955a); /be/, based on Ross (1980)",BarlowKillian2023,,,^ β o l o h a $,default,βoloha no-ʝo (1sg)
tomo1244-1-710_tearteardropdew-1,,tomo1244-1,710_tearteardropdew,βrik,βrik,β r i k,or is this /oβrik/? (but initial /o-/ is unexpected); cf. /rir/ 'fuzz',BarlowKillian2023,,,^ β r i k $,default,e=βrik (pl)
tomo1244-1-253_elbow-1,,tomo1244-1,253_elbow,βulβul,βulβul,β u l β u l,reduplication; loan from Sulka? (cf. Lindrud 1980: 178: <ḳatiʌk ka ƀulƀul> '(his) elbow'); cf. /βulβulie/ 'to boil',BarlowKillian2023,,,^ β u l β u l $,default,
tomo1244-1-168_childkinshipterm-1,,tomo1244-1,168_childkinshipterm,alpun,alpun,a l p u n,is this /al pun/ ~ /al pu-n/?; is there 3sg marking?; also /nalpun/,BarlowKillian2023,,,^ a l p u n $,default,n=alpun (sg); kotik alpun (sg)
tomo1244-1-651_sonboy-1,,tomo1244-1,651_sonboy,alpun nobuŋ,alpun nobuŋ,a l p u n + n o b u ŋ,literally 'child man',BarlowKillian2023,,,^ a l p u n + n o b u ŋ $,default,n=alpun nobuŋ (sg)
tomo1244-1-213_daughtergirl-1,,tomo1244-1,213_daughtergirl,alpun nolo,alpun nolo,a l p u n + n o l o,literally 'child woman',BarlowKillian2023,,,^ a l p u n + n o l o $,default,n=alpun nolo (sg)
tomo1244-1-169_childmanssistersdaughterniece-1,,tomo1244-1,169_childmanssistersdaughterniece,alum,alum,a l u m,"is this /al um/?; also /nalum/, /halum/",BarlowKillian2023,,,^ a l u m $,default,"n=alum (sg); n=alum-ʝo (1sg)/(sg), kotik alum-ʝo (1sg), n=alum-ke (2sg)/(sg), kotik alum-ke (2sg), kotik alum (unpossessed?); as neice: alum-ʝo (1sg), halum-ʝo (1sg), alum-ke (2sg), halum-ke (2sg), alum (before noun)"
tomo1244-1-266_fatherpapavocative-1,,tomo1244-1,266_fatherpapavocative,amma,amma,a mː a,also /amma/,BarlowKillian2023,,,^ a mm a $,default,amma no-ʝo (1sg)
tomo1244-1-271_fathersyoungerbrother-1,,tomo1244-1,271_fathersyoungerbrother,amma kakae,amma kakae,a mː a + k a k a e,literally 'papa small',BarlowKillian2023,,,^ a mm a + k a k a e $,default,amma me-kakae (prefix /me-/)
tomo1244-1-268_fathersolderbrother-1,,tomo1244-1,268_fathersolderbrother,amma pur,amma pur,a mː a + p u r,literally 'papa big',BarlowKillian2023,,,^ a mm a + p u r $,default,
tomo1244-1-495_mothermamavocative-1,,tomo1244-1,495_mothermamavocative,anno,anno,a nː o,also /no/,BarlowKillian2023,,,^ a nn o $,default,
tomo1244-1-272_fathersyoungersister-1,,tomo1244-1,272_fathersyoungersister,anno kakae,anno kakae,a nː o + k a k a e,literally 'mother small',BarlowKillian2023,,,^ a nn o + k a k a e $,default,
tomo1244-1-269_fathersoldersister-1,,tomo1244-1,269_fathersoldersister,anno pur,anno pur,a nː o + p u r,literally 'mother big',BarlowKillian2023,,,^ a nn o + p u r $,default,
tomo1244-1-476_manssisterssonnephewreciprocaloftpkandere-1,,tomo1244-1,476_manssisterssonnephewreciprocaloftpkandere,baralpuŋ,baralpuŋ,b a r a l p u ŋ,"fossilized 1sg marking?; cf. /bara/ 'other'; cf. /alpun/ 'child'; also /baralum/, based on Grace (1955a)",BarlowKillian2023,,,^ b a r a l p u ŋ $,default,baralpuŋ ano (before noun)
tomo1244-1-112_bigmanchief-1,,tomo1244-1,112_bigmanchief,bara pur,bara pur,b a r a + p u r,literally 'person big',BarlowKillian2023,,,^ b a r a + p u r $,default,
tomo1244-1-326_friend-1,,tomo1244-1,326_friend,bi,bi,b i,"or is this /bo-/?; Parkinson (1907: 779) records <bita> 'er, sie, es' ['he, she, it'], and Grace (1955a) records <mbita> 'he': could these both be 'our [1du.incl] friend' (the latter form also with singular marking)?",BarlowKillian2023,,,^ b i $,default,"bi-ʝo (1sg); m=bi-ʝo (1sg)/(sg), m=bo (?); bi-ta (1du.incl?)/(sg) [from Parkinson (1907)]; m=bi-ta (1du.incl?) [from Grace (1955a)]"
tomo1244-1-670_spousesmothersonswifedifferentgenerationfemaleaffineinlaw-1,,tomo1244-1,670_spousesmothersonswifedifferentgenerationfemaleaffineinlaw,bla,bla,b l a,same as 'head'?,BarlowKillian2023,,,^ b l a $,default,"bla no-ʝo (1sg), bla no-n (3sg)"
tomo1244-1-627_sisterfemaleparallelcousin-1,,tomo1244-1,627_sisterfemaleparallelcousin,deβi,deβi,d e β i,,BarlowKillian2023,,,^ d e β i $,default,"deβi-ʝo (1sg), deβi-ke (2sg), deβi-m (2sg), deβi-n (3sg), deβi (before noun); ro deβi-n (3sg)/(du)"
tomo1244-1-966_youngersister-1,,tomo1244-1,966_youngersister,deβi kakae,deβi kakae,d e β i + k a k a e,literally 'sister small',BarlowKillian2023,,,^ d e β i + k a k a e $,default,"deβi-n kakae (3sg), deβi-n me-kakae (3sg)/(prefix /me-/)"
tomo1244-1-270_fatherssisterpaternalaunt-1,,tomo1244-1,270_fatherssisterpaternalaunt,deβi mimma,deβi mimma,d e β i + m i mː a,literally 'sister father',BarlowKillian2023,,,^ d e β i + m i mm a $,default,deβin mimma-n (3sg)
tomo1244-1-532_oldersister-1,,tomo1244-1,532_oldersister,deβi pur,deβi pur,d e β i + p u r,literally 'sister big',BarlowKillian2023,,,^ d e β i + p u r $,default,deβi-n me-pur (3sg)/(prefix /me-/)
