ID,NUMBER,ENGLISH,CONCEPTICON_ID,CONCEPTICON_GLOSS
BarlowKillian-2023-967-1,1,1du.excl.poss (edible),,
BarlowKillian-2023-967-2,2,1du.excl.poss suffix,,
BarlowKillian-2023-967-3,3,1du.excl pronoun (non-subject),2636,WE TWO (EXCLUSIVE)
BarlowKillian-2023-967-4,4,1du.excl pronoun (subject),2636,WE TWO (EXCLUSIVE)
BarlowKillian-2023-967-5,5,1du.incl.poss (edible),,
BarlowKillian-2023-967-6,6,1du.incl.poss suffix,,
BarlowKillian-2023-967-7,7,1du.incl pronoun (non-subject),2637,WE TWO (INCLUSIVE)
BarlowKillian-2023-967-8,8,1du.incl pronoun (subject),2637,WE TWO (INCLUSIVE)
BarlowKillian-2023-967-9,9,1pl.excl.poss (edible),,
BarlowKillian-2023-967-10,10,1pl.excl.poss (general),,
BarlowKillian-2023-967-11,11,1pl.excl.poss suffix,,
BarlowKillian-2023-967-12,12,1pl.excl pronoun (non-subject),1130,WE (EXCLUSIVE)
BarlowKillian-2023-967-13,13,1pl.excl pronoun (subject),1130,WE (EXCLUSIVE)
BarlowKillian-2023-967-14,14,1pl.incl.poss (edible),,
BarlowKillian-2023-967-15,15,1pl.incl.poss (general),,
BarlowKillian-2023-967-16,16,1pl.incl.poss suffix,,
BarlowKillian-2023-967-17,17,1pl.incl pronoun (non-subject),1131,WE (INCLUSIVE)
BarlowKillian-2023-967-18,18,1pl.incl pronoun (subject),1131,WE (INCLUSIVE)
BarlowKillian-2023-967-19,19,1sg.poss (drinkable),,
BarlowKillian-2023-967-20,20,1sg.poss (edible),,
BarlowKillian-2023-967-21,21,1sg.poss (general),,
BarlowKillian-2023-967-22,22,1sg.poss suffix,,
BarlowKillian-2023-967-23,23,1sg pronoun (subject or non-subject),1209,I
BarlowKillian-2023-967-24,24,2du.poss (edible),,
BarlowKillian-2023-967-25,25,2du.poss suffix,,
BarlowKillian-2023-967-26,26,2du pronoun (non-subject),2111,YOU TWO
BarlowKillian-2023-967-27,27,2du pronoun (subject),2111,YOU TWO
BarlowKillian-2023-967-28,28,2pl.poss (edible),,
BarlowKillian-2023-967-29,29,2pl.poss suffix,,
BarlowKillian-2023-967-30,30,2pl pronoun (non-subject),1213,YOU
BarlowKillian-2023-967-31,31,2pl pronoun (subject),1213,YOU
BarlowKillian-2023-967-32,32,2sg/3sg.real subject marker,,
BarlowKillian-2023-967-33,33,2sg.irr subject marker,,
BarlowKillian-2023-967-34,34,2sg.poss (drinkable),,
BarlowKillian-2023-967-35,35,2sg.poss (edible),,
BarlowKillian-2023-967-36,36,2sg.poss (general),,
BarlowKillian-2023-967-37,37,2sg.poss suffix,,
BarlowKillian-2023-967-38,38,2sg pronoun (non-subject),1215,THOU
BarlowKillian-2023-967-39,39,2sg pronoun (subject),1215,THOU
BarlowKillian-2023-967-40,40,3du.poss (edible),,
BarlowKillian-2023-967-41,41,3du.poss (general),,
BarlowKillian-2023-967-42,42,3du.poss suffix,,
BarlowKillian-2023-967-43,43,3du pronoun (subject or non-subject),2635,THEY TWO
BarlowKillian-2023-967-44,44,3pl.poss (edible),,
BarlowKillian-2023-967-45,45,3pl.poss suffix,,
BarlowKillian-2023-967-46,46,3pl pronoun (subject or non-subject),817,THEY
BarlowKillian-2023-967-47,47,3sg.irr subject marker,,
BarlowKillian-2023-967-48,48,3sg.poss (drinkable),,
BarlowKillian-2023-967-49,49,3sg.poss (edible),,
BarlowKillian-2023-967-50,50,3sg.poss (general),,
BarlowKillian-2023-967-51,51,3sg.poss suffix,,
BarlowKillian-2023-967-52,52,3sg pronoun (subject),262,HE OR SHE OR IT
BarlowKillian-2023-967-53,53,"above, atop",1741,ABOVE
BarlowKillian-2023-967-54,54,adjective marker (?),,
BarlowKillian-2023-967-55,55,adze; seashell used to smooth wood,290,ADZE
BarlowKillian-2023-967-56,56,adze; tool to dig out canoes,290,ADZE
BarlowKillian-2023-967-57,57,affirmative interjection,,
BarlowKillian-2023-967-58,58,"afternoon, evening",1807,AFTERNOON
BarlowKillian-2023-967-59,59,again,204,AGAIN
BarlowKillian-2023-967-60,60,all,98,ALL
BarlowKillian-2023-967-61,61,already,2576,ALREADY
BarlowKillian-2023-967-62,62,ancestor ,1669,ANCESTORS
BarlowKillian-2023-967-63,63,"ancestor; sorceress, witch",1669,ANCESTORS
BarlowKillian-2023-967-64,64,and (coordinator),1577,AND
BarlowKillian-2023-967-65,65,angry; to anger,1826,ANGRY
BarlowKillian-2023-967-66,66,"animal, meat",2096,ANIMAL OR MEAT
BarlowKillian-2023-967-67,67,another,197,OTHER
BarlowKillian-2023-967-68,68,anus,1935,ANUS
BarlowKillian-2023-967-69,69,areca leaf,,
BarlowKillian-2023-967-70,70,areca nut (betel nut),217,BETELNUT
BarlowKillian-2023-967-71,71,areca palm,,
BarlowKillian-2023-967-72,72,arecoid palm sp. (wild arecoid palm),,
BarlowKillian-2023-967-73,73,arecoid palm (TP: limbum),,
BarlowKillian-2023-967-74,74,armpit,1886,ARMPIT
BarlowKillian-2023-967-75,75,ashes; dust,646,ASH
BarlowKillian-2023-967-76,76,ashpit,,
BarlowKillian-2023-967-77,77,"at, in, on; to, towards (preposition)",1461,AT
BarlowKillian-2023-967-78,78,"at, in (preposition)",1461,AT
BarlowKillian-2023-967-79,79,at (preposition),1461,AT
BarlowKillian-2023-967-80,80,augmentative prefix (?),,
BarlowKillian-2023-967-81,81,axe,677,AXE
BarlowKillian-2023-967-82,82,"backbone, spine",805,SPINE
BarlowKillian-2023-967-83,83,"back of, behind; after, afterwards",1686,BEHIND
BarlowKillian-2023-967-84,84,back of the body; backside; stern of a canoe,1291,BACK
BarlowKillian-2023-967-85,85,bad,1292,BAD
BarlowKillian-2023-967-86,86,bald spot; cassowary casque,3415,BALDHEAD
BarlowKillian-2023-967-87,87,ball,1845,BALL
BarlowKillian-2023-967-88,88,bamboo,1927,BAMBOO
BarlowKillian-2023-967-89,89,banana,868,BANANA
BarlowKillian-2023-967-90,90,banana fruit,868,BANANA
BarlowKillian-2023-967-91,91,banana leaf,,
BarlowKillian-2023-967-92,92,banana plant,1795,BANANA TREE
BarlowKillian-2023-967-93,93,bandicoot,3012,BANDICOOT
BarlowKillian-2023-967-94,94,bark,1204,BARK
BarlowKillian-2023-967-95,95,bark of a tree,1204,BARK
BarlowKillian-2023-967-96,96,base of a coconut shell,,
BarlowKillian-2023-967-97,97,basket,1539,BASKET
BarlowKillian-2023-967-98,98,"bay, harbor",663,BAY
BarlowKillian-2023-967-99,99,"beach, shore",3460,BEACH
BarlowKillian-2023-967-100,100,beam (of sunlight),,
BarlowKillian-2023-967-101,101,bean; corn (maize),832,BEAN
BarlowKillian-2023-967-102,102,beard,678,BEARD
BarlowKillian-2023-967-103,103,"before, earlier",1882,BEFORE
BarlowKillian-2023-967-104,104,behavior,,
BarlowKillian-2023-967-105,105,"belch, burp",2245,BELCH
BarlowKillian-2023-967-106,106,"belly, stomach; canoe",2114,BELLY OR STOMACH
BarlowKillian-2023-967-107,107,betel pepper leaf (TP: lip daka),,
BarlowKillian-2023-967-108,108,betel pepper seed,,
BarlowKillian-2023-967-109,109,betel pepper (TP: daka),177,BETEL PEPPER VINE
BarlowKillian-2023-967-110,110,betel pepper vine (TP: rop daka),,
BarlowKillian-2023-967-111,111,big,1202,BIG
BarlowKillian-2023-967-112,112,"big man, chief",301,CHIEFTAIN
BarlowKillian-2023-967-113,113,"bird, chicken",937,BIRD
BarlowKillian-2023-967-114,114,bird sp. (bird that portends rain),,
BarlowKillian-2023-967-115,115,bird sp. (bird that sings at sunrise and sunset),,
BarlowKillian-2023-967-116,116,bird sp. (cassowary; TP: muruk),466,CASSOWARY
BarlowKillian-2023-967-117,117,bird sp. (cockatoo; TP: koki),3009,WHITE COCKATOO
BarlowKillian-2023-967-118,118,bird sp. (crow; TP: kotkot),913,CROW
BarlowKillian-2023-967-119,119,bird sp. (hawk; TP: taragau),2683,EAGLE OR HAWK
BarlowKillian-2023-967-120,120,bird sp. (hornbill; TP: kokomo),3260,HORNBILL
BarlowKillian-2023-967-121,121,bird sp. (kingfisher),2444,KINGFISHER
BarlowKillian-2023-967-122,122,bird sp. (owl),735,OWL
BarlowKillian-2023-967-123,123,bird sp. (parrot; TP: kalangal),882,PARROT
BarlowKillian-2023-967-124,124,bird sp. (parrot with red feathers; TP: marip),,
BarlowKillian-2023-967-125,125,bird sp. (pigeon; TP: balus),1853,DOVE
BarlowKillian-2023-967-126,126,bird sp. (sparrow),1854,SPARROW
BarlowKillian-2023-967-127,127,bird sp. (wild fowl),,
BarlowKillian-2023-967-128,128,"bird sp. (willie wagtail, toilet keeper)",3010,WAGTAIL
BarlowKillian-2023-967-129,129,"bitter, salty",887,BITTER
BarlowKillian-2023-967-130,130,black,163,BLACK
BarlowKillian-2023-967-131,131,black; dirty,163,BLACK
BarlowKillian-2023-967-132,132,bladder,1746,BLADDER
BarlowKillian-2023-967-133,133,blind,1653,BLIND
BarlowKillian-2023-967-134,134,blood; sap of a tree; spirit type (TP: masalai),946,BLOOD
BarlowKillian-2023-967-135,135,"boil, blister",793,BOIL (OF SKIN)
BarlowKillian-2023-967-136,136,bone,1394,BONE
BarlowKillian-2023-967-137,137,bottom,690,BOTTOM
BarlowKillian-2023-967-138,138,bottom; base of a coconut shell; stump of a tree,690,BOTTOM
BarlowKillian-2023-967-139,139,boy,1366,BOY
BarlowKillian-2023-967-140,140,"boy, male child",2391,BOY OR SON
BarlowKillian-2023-967-141,141,brain,1583,BRAIN
BarlowKillian-2023-967-142,142,branch,1531,BRANCH
BarlowKillian-2023-967-143,143,breadfruit,2371,BREADFRUIT
BarlowKillian-2023-967-144,144,breadfruit fruit,,
BarlowKillian-2023-967-145,145,breadfruit leaf,,
BarlowKillian-2023-967-146,146,breadfruit tree,,
BarlowKillian-2023-967-147,147,breast,1402,BREAST
BarlowKillian-2023-967-148,148,breeze,3982,BREEZE
BarlowKillian-2023-967-149,149,bridge; table,1011,BRIDGE
BarlowKillian-2023-967-150,150,broom,245,BROOM
BarlowKillian-2023-967-151,151,brother; male parallel cousin,1262,BROTHER
BarlowKillian-2023-967-152,152,buttocks,834,BUTTOCKS
BarlowKillian-2023-967-153,153,buttress root sp.,,
BarlowKillian-2023-967-154,154,cane grass (TP: pitpit),,
BarlowKillian-2023-967-155,155,canoe,1970,CANOE
BarlowKillian-2023-967-156,156,cassava,925,CASSAVA
BarlowKillian-2023-967-157,157,causative prefix,,
BarlowKillian-2023-967-158,158,cemetery (TP: matmat),3284,GRAVEYARD
BarlowKillian-2023-967-159,159,chair,1476,CHAIR
BarlowKillian-2023-967-160,160,channel,2423,CHANNEL
BarlowKillian-2023-967-161,161,charcoal,1188,CHARCOAL
BarlowKillian-2023-967-162,162,chest,1592,CHEST
BarlowKillian-2023-967-163,163,chewed-up betel nut (TP: meme),,
BarlowKillian-2023-967-164,164,chicken,1318,CHICKEN
BarlowKillian-2023-967-165,165,child,2099,CHILD
BarlowKillian-2023-967-166,166,"child, baby",2099,CHILD
BarlowKillian-2023-967-167,167,child (especially a boy),2099,CHILD
BarlowKillian-2023-967-168,168,child (kinship term),1801,CHILD (DESCENDANT)
BarlowKillian-2023-967-169,169,child; man's sister's daughter (niece),2099,CHILD
BarlowKillian-2023-967-170,170,children (plural),2099,CHILD
BarlowKillian-2023-967-171,171,"chin, cheek (?)",1510,CHIN
BarlowKillian-2023-967-172,172,"chin, cheek",1510,CHIN
BarlowKillian-2023-967-173,173,cigar,969,CIGARETTE
BarlowKillian-2023-967-174,174,circumcision (performed for boys' initiation rites),393,CIRCUMCISION
BarlowKillian-2023-967-175,175,citrus fruit,1126,CITRUS FRUIT
BarlowKillian-2023-967-176,176,clam,,
BarlowKillian-2023-967-177,177,"class term prefix for baskets, open things",,
BarlowKillian-2023-967-178,178,"class term prefix for fruits, round things, bunches",,
BarlowKillian-2023-967-179,179,"class term prefix for trees, long things, plants",,
BarlowKillian-2023-967-180,180,"clavicle, collarbone",1994,COLLARBONE
BarlowKillian-2023-967-181,181,cloth (TP: laplap),1616,CLOTH
BarlowKillian-2023-967-182,182,cloud,1489,CLOUD
BarlowKillian-2023-967-183,183,coconut,970,COCONUT
BarlowKillian-2023-967-184,184,coconut bark fiber,,
BarlowKillian-2023-967-185,185,coconut cream,,
BarlowKillian-2023-967-186,186,coconut frond midrib (used as a broom),,
BarlowKillian-2023-967-187,187,coconut frond (TP: pangal),,
BarlowKillian-2023-967-188,188,coconut fruit,970,COCONUT
BarlowKillian-2023-967-189,189,coconut half (half a shell),,
BarlowKillian-2023-967-190,190,coconut leaf (TP: bombom),,
BarlowKillian-2023-967-191,191,coconut palm,147,COCONUT TREE
BarlowKillian-2023-967-192,192,cold,1287,COLD
BarlowKillian-2023-967-193,193,cold place; ice,617,ICE
BarlowKillian-2023-967-194,194,comb,1475,COMB
BarlowKillian-2023-967-195,195,conch sp.,,
BarlowKillian-2023-967-196,196,"container, box",1465,BOX
BarlowKillian-2023-967-197,197,cordyline plant (TP: tanget); skirt for women (grass skirt; TP: purpur),,
BarlowKillian-2023-967-198,198,"corner, crevice",192,CORNER
BarlowKillian-2023-967-199,199,crab sp. (big),2348,CRAB
BarlowKillian-2023-967-200,200,crab sp. (small),2348,CRAB
BarlowKillian-2023-967-201,201,cradle of a sling,,
BarlowKillian-2023-967-202,202,crayfish sp. (big),467,CRAYFISH
BarlowKillian-2023-967-203,203,crayfish sp. (small),467,CRAYFISH
BarlowKillian-2023-967-204,204,"creek, ditch",2002,DITCH
BarlowKillian-2023-967-205,205,crocodile,1857,CROCODILE
BarlowKillian-2023-967-206,206,crooked,297,CROOKED
BarlowKillian-2023-967-207,207,crops,3081,CROPS
BarlowKillian-2023-967-208,208,cross-cousin,3162,CROSS-COUSIN
BarlowKillian-2023-967-209,209,curved,1698,CURVED
BarlowKillian-2023-967-210,210,"cuscus, possum",470,POSSUM
BarlowKillian-2023-967-211,211,"cyclone, storm",858,STORM
BarlowKillian-2023-967-212,212,darkness,11,DARKNESS
BarlowKillian-2023-967-213,213,"daughter, girl",2392,DAUGHTER OR GIRL
BarlowKillian-2023-967-214,214,day after tomorrow,1179,DAY AFTER TOMORROW
BarlowKillian-2023-967-215,215,day before yesterday,1180,DAY BEFORE YESTERDAY
BarlowKillian-2023-967-216,216,deaf,996,DEAF
BarlowKillian-2023-967-217,217,decorations (TP: bilas),,
BarlowKillian-2023-967-218,218,"digging stick, hoe",339,DIGGING STICK
BarlowKillian-2023-967-219,219,"digit; finger, toe; root of a tree",2120,FINGER OR TOE
BarlowKillian-2023-967-220,220,diminutive prefix (?),,
BarlowKillian-2023-967-221,221,dog,2009,DOG
BarlowKillian-2023-967-222,222,"dolphin, dugong",1479,DOLPHIN
BarlowKillian-2023-967-223,223,door,1567,DOOR
BarlowKillian-2023-967-224,224,double canoe,,
BarlowKillian-2023-967-225,225,"down, downwards",1326,DOWN
BarlowKillian-2023-967-226,226,dream,2374,DREAM
BarlowKillian-2023-967-227,227,drinkable possessive classifier,,
BarlowKillian-2023-967-228,228,drinking coconut (TP: kulau),3034,GREEN COCONUT
BarlowKillian-2023-967-229,229,drum,908,DRUM
BarlowKillian-2023-967-230,230,drum type (hand drum; TP: kundu),,
BarlowKillian-2023-967-231,231,drum type (slit drum; TP: garamut),,
BarlowKillian-2023-967-232,232,dry,1398,DRY
BarlowKillian-2023-967-233,233,"dry areca nut, old areca nut",,
BarlowKillian-2023-967-234,234,dry coconut,3035,RIPE COCONUT
BarlowKillian-2023-967-235,235,dual marker,,
BarlowKillian-2023-967-236,236,"dull, blunt, not sharp",379,BLUNT
BarlowKillian-2023-967-237,237,du/pl/1sg.irr marker,,
BarlowKillian-2023-967-238,238,du/pl/1sg.real subject marker,,
BarlowKillian-2023-967-239,239,"dust; fog, snow",2,DUST
BarlowKillian-2023-967-240,240,"each, one-by-one, piece-by-piece",3416,EVERY (EACH)
BarlowKillian-2023-967-241,241,ear; gill,1247,EAR
BarlowKillian-2023-967-242,242,earlobe,18,EARLOBE
BarlowKillian-2023-967-243,243,earth oven (TP: mumu),1143,OVEN
BarlowKillian-2023-967-244,244,earthquake,6,EARTHQUAKE
BarlowKillian-2023-967-245,245,"earth, soil, ground",3603,EARTH OR LAND
BarlowKillian-2023-967-246,246,earwax,32,EARWAX
BarlowKillian-2023-967-247,247,edible possessive classifier (1sg possessor),,
BarlowKillian-2023-967-248,248,edible possessive classifier (2sg/general possessor),,
BarlowKillian-2023-967-249,249,edible possessive classifier (2sg possessor),,
BarlowKillian-2023-967-250,250,edible possessive classifier (3sg possessor),,
BarlowKillian-2023-967-251,251,edible possessive classifier (non-pronominal possessor),,
BarlowKillian-2023-967-252,252,egg,744,EGG
