Grapheme	IPA	Examples	Languages	Frequence	Codepoints
^	NULL				
$	NULL				
a	a	amma kakae, deβi kakae	tomo1244-1	100	U+0061
o	o	nolo dukum, ŋgol muop	tomo1244-1	100	U+006f
e	e	peperen, pelpel	tomo1244-1	100	U+0065
i	i	kiliŋ, liuliu	tomo1244-1	100	U+0069
u	u	nobuŋ dukum, nolo dukum	tomo1244-1	100	U+0075
l	l	bla, alpun nolo	tomo1244-1	100	U+006c
r	r	guararik, purumbiria	tomo1244-1	100	U+0072
m	m	motom mpu, komama	tomo1244-1	100	U+006d
n	n	konene, alpun nolo	tomo1244-1	100	U+006e
k	k	kotik kapuru, kaka	tomo1244-1	100	U+006b
_	_	lo ŋha nua, kobi en bulme	tomo1244-1	100	U+005f
b	b	kobi en bulme, mabu	tomo1244-1	72	U+0062
t	t	putor tomoeβe, kurtiktik	tomo1244-1	68	U+0074
p	p	depuk depuk, ŋapa	tomo1244-1	67	U+0070
-	+	no-, -n	tomo1244-1	49	U+002d
ŋ	ŋ	aŋa, maŋgil	tomo1244-1	47	U+014b
d	d	radel, ndan	tomo1244-1	46	U+0064
β	β	si βadik, putor tomoeβe	tomo1244-1	36	U+03b2
h	h	kahian, lami hoa	tomo1244-1	29	U+0068
g	g	pagas, parages	tomo1244-1	26	U+0067
ʝ	ʝ	kaʝu, neʝa	tomo1244-1	26	U+029d
s	s	nasi, tasiek	tomo1244-1	25	U+0073
=	+	ni=, m=	tomo1244-1	17	U+003d U+0024
mm	mː	deβi mimma, die mimma	tomo1244-1	7	U+006d U+006d
nn	nː	anno kakae, anno	tomo1244-1	3	U+006e U+006e
^=	NULL				
=$	NULL				
^-	NULL				
-$	NULL				

